ReportDate,DataYM,CompanyCode,CompanyName,Industry,NowRevenue,LastMonthRevenue,LastYearSameMonthRevenue,MonthlyPercent,YearlyPercent,CumulativeNowRevenue,CumulativeLastYearRevenue,CumulativeChangePercent,Comment
1150117,11412,3673,TPK-KY,光電業,5427886,4669429,5444153,16.24303528,-0.298797627,62835706,68873618,-8.766654309,-
1150117,11412,3679,新至陞,電子零組件業,357962,324082,443677,10.45414432,-19.31923449,4471195,4259658,4.96605596,-
1150117,11412,3686,達能,半導體業,8368,8692,5161,-3.727565578,62.13912033,85816,82540,3.968984735,本期營收與去年同期差異，主要係本期電子零組件材料交易的品項規格不同，加上整體交易的平均價格較去年同期大幅上升所致。
1150117,11412,3694,海華,通信網路業,948924,794209,797607,19.48038866,18.97137312,11407256,9251032,23.30792932,-
1150117,11412,3701,大眾控,電腦及週邊設備業,696541,729732,782882,-4.548382146,-11.02860968,9691333,13068565,-25.84240886,-
1150117,11412,3702,大聯大,電子通路業,93340132,78643539,83526897,18.68760382,11.74859279,999122921,880552335,13.46547857,-
1150117,11412,3703,欣陸,建材營造,7681121,2894218,2450370,165.3953849,213.4678028,34611732,30694572,12.7617352,本月較去年同月增加，主係本月交屋增加所致。
1150117,11412,3704,合勤控,通信網路業,2036023,1738918,3251918,17.08562451,-37.39008794,25295196,25969435,-2.596279049,-
1150117,11412,3705,永信,生技醫療業,722005,713716,726323,1.161386322,-0.594501344,8369734,8040604,4.093349206,-
1150117,11412,3706,神達,電腦及週邊設備業,10552957,7821659,8408891,34.91967625,25.49760724,105577033,61359852,72.06207244,YOY增長係超大規模雲端資料中心及雲端服務客戶們需求強勁維持在高檔。車用電子，智慧物聯及智慧車載資通訊出貨則朝成長目標。
1150117,11412,3708,上緯投控,綠能環保,58292,74530,579131,-21.78719979,-89.93457439,1005478,7872159,-87.22741754,"以上申報之合併營收已排除停業單位營收。114全年累計合併營收(含停業單位)為 6,985,352仟元。 本月營收減少係因處分上緯新材料。"
1150117,11412,3711,日月光投控,半導體業,58864547,58819584,52904645,0.076442227,11.26536621,645387710,595409585,8.393906692,-
1150117,11412,3712,永崴投控,電腦及週邊設備業,2627271,1270740,4489250,106.751263,-41.47639361,32265164,26887873,19.99894525,-
1150117,11412,3714,富采,光電業,1825841,1691307,1825241,7.954439969,0.032872371,22182815,24388294,-9.043186867,-
1150117,11412,3715,定穎投控,電子零組件業,1969194,1811028,1548061,8.733492801,27.20390217,19504444,17727754,10.02208176,-
1150117,11412,3716,中化控股,生技醫療業,770326,678760,800298,13.49018799,-3.745104948,8568178,3016314,184.0612085,中化控股於113/09/02公司始設立
1150117,11412,3717,聯嘉投控,汽車工業,433682,517263,0,-16.15831792,,2492719,0,,聯嘉光電投控（公司代號：3717）於8月份起100%認列聯嘉光電（原公司代號：6288）的營收。
1150117,11412,4104,佳醫,生技醫療業,774302,764923,769689,1.226136487,0.599332977,8788805,8538902,2.926640919,-
